Date,Price,Open,High,Low,Volume,Chg%,,
Jan-10,137.4,156.3,167.15,132.87,308.51M,-12.28%,,
Feb-10,140.73,136.08,146.43,125.4,298.36M,2.42%,,
Mar-10,149.93,142.47,164.18,141.33,544.77M,6.54%,,
Apr-10,172.67,150.39,173.84,138.51,512.80M,15.17%,,
May-10,149.4,172.35,174.67,132.58,564.93M,-13.48%,,
Jun-10,154.05,148.03,162.92,142.58,469.19M,3.11%,,
Jul-10,167.47,153.91,172.01,148.09,307.82M,8.72%,,
Aug-10,199.93,168.98,209.45,165.23,553.64M,19.38%,,
Sep-10,217.29,200.85,220.63,198.5,310.95M,8.69%,,
Oct-10,229.34,218.65,239.43,216.28,278.72M,5.55%,,
Nov-10,244.37,233.42,266.74,225.18,342.62M,6.55%,,
Dec-10,258.89,243.39,273.47,239.83,447.73M,5.94%,,
Jan-11,226.98,262.72,264.17,220.06,307.12M,-12.33%,,
Feb-11,214.25,227.85,248.91,205.52,381.41M,-5.61%,,
Mar-11,247.02,217.47,249.5,217.1,245.96M,15.29%,,
Apr-11,244.74,245.57,257.97,235.15,137.61M,-0.92%,,
May-11,216.74,245.66,246.16,212.29,249.85M,-11.44%,,
Jun-11,196.73,216.87,217.07,183.15,274.21M,-9.23%,,
Jul-11,187.61,199.86,214,186.01,203.72M,-4.64%,,
Aug-11,146.88,188.97,191.34,137.25,348.45M,-21.71%,,
Sep-11,154.39,149.99,165.13,136.09,316.02M,5.11%,,
Oct-11,196.34,152.37,205.79,143.21,298.99M,27.17%,,
Nov-11,170.97,193.03,200.3,158.45,345.91M,-12.93%,,
Dec-11,176.8,179.08,193.67,165.72,283.71M,3.41%,,
Jan-12,241.16,179.03,242.94,176.9,353.78M,36.40%,,
Feb-12,268.07,241.26,289.59,238.1,336.06M,11.16%,,
Mar-12,272.33,267.04,294.69,259.61,250.41M,1.59%,,
Apr-12,313.19,276.93,317.35,270.8,165.46M,15.00%,,
May-12,230.53,309.63,309.63,227.86,286.66M,-26.39%,,
Jun-12,239.88,232.51,249.23,214.94,292.36M,4.06%,,
Jul-12,223.85,237.21,245.76,200.9,212.73M,-6.68%,,
Aug-12,231.81,222.17,247.25,213.86,216.14M,3.56%,,
Sep-12,264.71,233.69,286.23,222.66,209.56M,14.19%,,
Oct-12,252.05,265.16,280.69,217.12,157.59M,-4.78%,,
Nov-12,270.55,254.27,282.47,253.28,253.23M,7.34%,,
Dec-12,309.33,270.1,310.67,266.44,197.05M,14.34%,,
Jan-13,294.84,312.65,333.82,278.81,225.88M,-4.69%,,
Feb-13,284.5,294.64,308.69,265.4,174.96M,-3.51%,,
Mar-13,266.29,287.91,308.14,262.29,194.47M,-6.40%,,
Apr-13,296.82,264.12,297.8,249.13,171.29M,11.46%,,
May-13,309.98,292.56,316.11,279.85,168.21M,4.43%,,
Jun-13,278.32,306.46,314.43,260.31,176.86M,-10.21%,,
Jul-13,287.42,275.05,300.03,274.06,154.36M,3.27%,,
Aug-13,296.07,288.41,320.96,268.92,206.11M,3.01%,,
Sep-13,328.97,292.86,351.08,288.95,150.80M,11.11%,,
Oct-13,377.11,329.37,389.13,326.8,163.88M,14.63%,,
Nov-13,394.47,379.92,400.75,354.3,141.06M,4.60%,,
Dec-13,372.4,393.78,399.56,355.19,134.58M,-5.59%,,
Jan-14,345.84,373.54,384.87,341.83,115.95M,-7.13%,,
Feb-14,412.52,343.32,413.76,328.58,144.02M,19.28%,,
Mar-14,394.42,410.6,416.23,374.73,106.53M,-4.39%,,
Apr-14,410.35,400.85,433.15,395.26,83.93M,4.04%,,
May-14,410.64,413.56,460.07,402.73,122.50M,0.07%,,
Jun-14,426.72,410.6,450.57,406.19,113.75M,3.92%,,
Jul-14,442.01,428.21,483.02,428.21,125.90M,3.58%,,
Aug-14,519.48,440.08,526.01,425.83,125.18M,17.53%,,
Sep-14,496.82,520.42,536.84,486.18,140.61M,-4.36%,,
Oct-14,530.16,495.88,532.78,463.03,86.19M,6.71%,,
Nov-14,527.84,524.97,544.85,506.07,79.93M,-0.44%,,
Dec-14,490.29,534.12,534.12,463.68,89.19M,-7.11%,,
Jan-15,578.94,489.25,601.25,484.01,119.43M,18.08%,,
Feb-15,587.05,581.56,605.9,535.55,99.23M,1.40%,,
Mar-15,544.36,591.06,594.62,512.65,95.78M,-7.27%,,
Apr-15,508.25,543.27,573.5,506.75,81.57M,-6.63%,,
May-15,481.65,511.75,530.95,463.55,120.86M,-5.23%,,
Jun-15,434.15,482.9,482.9,417.25,164.83M,-9.86%,,
Jul-15,383.85,436.75,447.4,366.1,187.18M,-11.59%,,
Aug-15,340.15,386.35,396,301.6,200.37M,-11.38%,,
Sep-15,298.6,334.95,358.9,279.1,176.54M,-12.22%,,
Oct-15,384.95,301.45,396.8,291.5,223.72M,28.92%,,
Nov-15,423.25,386.1,431.9,373.05,175.01M,9.95%,,
Dec-15,391.3,427,427,360.5,153.23M,-7.55%,,
Jan-16,336.9,392.5,403,323,184.04M,-13.90%,,
Feb-16,299.7,338.75,344.7,265.8,251.27M,-11.04%,,
Mar-16,386.6,301.1,393.6,301.1,180.65M,29.00%,,
Apr-16,408.35,386.4,425.25,369,124.23M,5.63%,,
May-16,459.65,407.95,464.9,376.1,310.84M,12.56%,,
Jun-16,459.25,455.75,489.9,421.25,242.21M,-0.09%,,
Jul-16,503.2,463.6,513.35,454.1,130.37M,9.57%,,
Aug-16,537.7,506.8,548.8,475.5,158.43M,6.86%,,
Sep-16,534.85,540.5,598.4,516.65,164.09M,-0.53%,,
Oct-16,531.95,539.4,571.1,510.75,108.14M,-0.54%,,
Nov-16,459.3,534.4,549.35,443.15,169.88M,-13.66%,,
Dec-16,472,457,486.25,428.3,181.55M,2.77%,,
Jan-17,523.55,472,552,469.05,110.53M,10.92%,,
Feb-17,456.75,527.5,544.5,434.35,163.81M,-12.76%,,
Mar-17,465.85,455.9,484.2,448,134.17M,1.99%,,
Apr-17,458.9,468.25,480.55,437.6,105.62M,-1.49%,,
May-17,476.15,456.6,488.25,417.25,152.32M,3.76%,,
Jun-17,432.55,476.95,485.95,428.05,113.99M,-9.16%,,
Jul-17,444.6,431.5,468.35,426,105.83M,2.79%,,
Aug-17,376.55,446.55,452.35,358.5,153.20M,-15.31%,,
Sep-17,401.5,379.35,427.7,374.05,172.23M,6.63%,,
Oct-17,428.4,428,440.95,409.35,115.68M,6.70%,,
Nov-17,404.15,430.95,468,402.25,247.20M,-5.66%,,
Dec-17,431.85,407.9,433.45,389.3,135.15M,6.85%,,
Jan-18,399.5,430.95,443.5,395,170.43M,-7.49%,,
Feb-18,369.9,399.9,403.8,356.5,181.51M,-7.41%,,
Mar-18,326.85,369.75,376.3,324.3,161.93M,-11.64%,,
Apr-18,340.4,335,372.35,326,242.72M,4.15%,,
May-18,282.5,349.2,351.65,281.6,307.24M,-17.01%,,
Jun-18,269.3,284.5,315.55,261.85,286.08M,-4.67%,,
Jul-18,264.1,276,277,247.3,225.62M,-1.93%,,
Aug-18,267.5,250,274.7,243.1,308.34M,1.29%,,
Sep-18,223.7,271.4,282,219.5,255.08M,-16.37%,,
Oct-18,179.1,225,232.8,164.6,434.21M,-19.94%,,
Nov-18,171.95,182,200.75,170.35,340.51M,-3.99%,,
Dec-18,172.7,173.25,180.5,154.65,293.36M,0.44%,,
Jan-19,181.2,173.5,198.3,165.1,305.92M,4.92%,,
Feb-19,177.45,182,186.1,129,413.63M,-2.07%,,
Mar-19,174.25,178.65,198.35,167.55,348.31M,-1.80%,,
Apr-19,214.3,176.35,239.35,176.35,804.24M,22.98%,,
May-19,172.6,211,213.65,167.4,581.85M,-19.46%,,
Jun-19,162.55,170.5,177.2,152.15,332.45M,-5.82%,,
Jul-19,135.6,163.7,172.35,132.5,590.08M,-16.58%,,
Aug-19,116.7,135.5,136.3,106.2,890.85M,-13.94%,,
Sep-19,117.45,113.05,138.4,106,1.09B,0.64%,,
Oct-19,177.7,118,179.65,112.65,1.17B,51.30%,,
Nov-19,161.5,175.2,178.9,159.9,554.11M,-9.12%,,
Dec-19,185.15,160.95,187.9,157.4,812.75M,14.64%,,
Jan-20,176.6,185.15,201.7,174.9,886.71M,-4.62%,,
Feb-20,128.95,175.4,184.95,127.05,1.06B,-26.98%,,
Mar-20,71.05,133,133.9,63.5,1.63B,-44.90%,,
Apr-20,93.25,70.5,93.75,64.8,1.17B,31.25%,,
May-20,87,87,92.5,79.6,1.14B,-6.70%,,
Jun-20,98.25,88.9,119.15,88,2.06B,12.93%,,
Jul-20,104.65,99,112.6,98.2,1.24B,6.51%,,
Aug-20,143.2,103,147.95,102.9,1.87B,36.84%,,
Sep-20,133.3,143.4,155.2,122.15,1.58B,-6.91%,,
Oct-20,132.65,135.9,145.8,126,1.29B,-0.49%,,
Nov-20,180.35,133.65,183.85,131.1,1.28B,35.96%,,
Dec-20,183.85,182.35,188.8,156.7,1.19B,1.94%,,
Jan-21,262.7,184.95,306.9,184.5,3.11B,42.89%,,
Feb-21,322.95,269.75,341.9,255.35,2.01B,22.93%,,
Mar-21,301.8,330,357,282.25,1.45B,-6.55%,,
Apr-21,293.85,306.75,325,280.55,1.15B,-2.63%,,
May-21,318.75,289.3,336.65,285,1.05B,8.47%,,
Jun-21,339.6,319.2,360.75,315.6,709.23M,6.54%,,
Jul-21,293.95,341.5,358.2,283.6,916.62M,-13.44%,,
Aug-21,287.3,299.15,311.5,268.45,504.37M,-2.26%,,
Sep-21,333.35,289,337.9,287.3,547.13M,16.03%,,
Oct-21,483.7,332.65,530,325.7,1.34B,45.10%,,
Nov-21,458.6,486.45,536.7,443.1,676.68M,-5.19%,,
